"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Middle",1,"3.1%","62.5%","93.8%","0%","0%",2,4,0,0.5,"66.7%","33.3%","100%",-220,-36,0,7.3,"-",110,"12.7%","28.1%",0.44,0
"Aatrox","Top",9,"28.1%","62.5%","93.8%","78%","22%",24,12,45,5.8,"50.4%","14.1%","22%",326,294,11.8,9.2,"27.5%",369,"19.7%","23.7%",0.44,0.15
"Akali","Top",1,"3.1%","96.9%","100.0%","0%","0%",7,3,2,3,"75.0%","18.8%","0%",63,-30,6,8.7,"27.0%",403,"23.4%","26.5%",0.41,0.06
"Alistar","Support",13,"40.6%","40.6%","81.3%","46%","23%",12,44,98,2.5,"67.9%","24.3%","31%",23,-41,1.5,1.8,"5.5%",142,"7.6%","9.5%",1.59,0.24
"Ashe","ADC",7,"21.9%","12.5%","34.4%","57%","71%",21,18,42,3.5,"63.6%","17.6%","14%",96,-1,-3.4,10.2,"32.2%",630,"31.8%","26.3%",0.34,0.49
"Azir","-",0,"0%","3.1%","3.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Braum","Support",15,"46.9%","6.3%","53.1%","53%","80%",7,43,122,3,"78.2%","23.1%","27%",-25,12,4,1.9,"6.2%",140,"8.4%","10.4%",1.54,0.24
"Caitlyn","ADC",1,"3.1%","0.0%","3.1%","0%","100%",2,3,3,1.7,"31.3%","15.0%","0%",560,220,-4,9.4,"36.5%",694,"32.0%","27.4%",0.39,0.26
"Camille","Jungle",6,"18.8%","75.0%","96.9%","50%","17%",19,19,32,2.7,"68.0%","25.0%","67%",-120,-406,-7.5,5,"13.7%",256,"14.3%","18.7%",0.35,0.4
"Camille","Top",1,"3.1%","75.0%","96.9%","100%","0%",4,2,7,5.5,"61.1%","50.0%","0%",252,35,23,9.8,"26.1%",622,"29.1%","25.0%",0.4,0.24
"Cassiopeia","-",0,"0%","3.1%","3.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Cho'Gath","Top",2,"6.3%","6.3%","12.5%","50%","0%",1,3,8,3,"39.1%","11.1%","0%",-356,-73,-18,7.5,"22.1%",168,"11.6%","18.7%",0.49,0.2
"Darius","Top",1,"3.1%","3.1%","6.3%","0%","100%",0,3,1,0.3,"14.3%","23.1%","0%",138,1,9,7.5,"21.2%",75,"4.9%","19.1%",0.44,0.1
"Fiddlesticks","Support",2,"6.3%","9.4%","15.6%","0%","100%",1,6,6,1.2,"70.0%","24.0%","0%",258,-138,-5.5,0.9,"2.6%",207,"18.0%","9.8%",1.06,0.26
"Fiora","-",0,"0%","3.1%","3.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
