"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Able","Royal Never Give Up","ADC",3,"33%","100%",9,9,12,2.3,"63.6%","27.3%","23.7%","33%",-191,-57,-10.7,10,"32.6%",514,"31.6%",,272,"27.0%",,0.2,0.03,0.54
"Alex","FunPlus Phoenix","Jungle",3,"33%","67%",4,7,16,2.9,"80.0%","16.0%","25.0%","33%",-270,-460,-7,5,"12.1%",145,"11.8%",,180,"17.4%",,0.41,0.36,0.6
"Angel","Suning","Middle",4,"50%","50%",14,8,15,3.6,"59.2%","28.6%","19.0%","50%",-237,-248,-10,8.4,"23.9%",394,"20.7%",,246,"21.8%",,0.8,0.52,0.23
"Baolan","Invictus Gaming","Support",10,"50%","50%",11,30,90,3.4,"71.1%","7.7%","20.0%","10%",-70,-98,3.6,1.8,"5.9%",158,"7.7%",,123,"10.3%",,1.67,0.67,0.22
"Cat","Top Esports","Support",8,"38%","100%",5,25,34,1.6,"54.9%","7.0%","22.9%","0%",-64,-71,4.9,1.9,"7.2%",142,"9.6%",,101,"9.7%",,1.36,0.4,0.38
"Clearlove","EDward Gaming","Jungle",2,"0%","0%",3,3,4,2.3,"58.3%","25.0%","12.5%","100%",121,-66,1.5,4.4,"9.0%",155,"11.7%",,144,"15.5%",,0.52,0.44,0.43
"Clid","JD Gaming","Jungle",15,"67%","53%",27,33,84,3.4,"65.7%","16.0%","23.1%","27%",-5,76,0,4.8,"12.7%",254,"14.6%",,186,"16.7%",,0.59,0.35,0.4
"Cool","FunPlus Phoenix","Middle",3,"33%","67%",7,8,15,2.8,"88.0%","28.0%","28.6%","67%",-296,-38,-9,8.3,"24.6%",262,"20.2%",,229,"22.3%",,0.35,0.18,0.16
"Corn","Top Esports","Middle",8,"38%","50%",30,21,20,2.4,"70.4%","42.3%","19.3%","25%",53,115,5.3,9.3,"26.3%",416,"25.8%",,265,"25.8%",,0.48,0.16,0.12
"Crisp","FunPlus Phoenix","Support",3,"33%","33%",4,5,17,4.2,"84.0%","16.0%","17.9%","33%",-99,-20,1.7,1.8,"5.6%",129,"10.5%",,105,"10.4%",,1.77,0.59,0.23
"Doinb","Rogue Warriors","Middle",7,"14%","43%",16,20,30,2.3,"69.7%","24.2%","16.4%","14%",353,283,6.6,9.1,"26.7%",332,"21.1%",,241,"24.6%",,0.39,0.11,0.35
"Duke","Invictus Gaming","Top",3,"33%","33%",6,4,10,4,"48.5%","18.2%","10.5%","0%",-540,-413,-15,8,"26.3%",235,"15.6%",,220,"21.8%",,0.36,0.04,0.19
"Flawless","Rogue Warriors","Jungle",4,"25%","50%",10,14,22,2.3,"74.4%","23.3%","17.9%","50%",-1,57,4.3,4.9,"12.6%",296,"17.2%",,169,"16.7%",,0.53,0.42,0.35
"Fury","Suning","ADC",4,"50%","100%",12,7,23,5,"71.4%","24.5%","16.7%","25%",366,105,5,10,"28.8%",535,"28.3%",,279,"25.3%",,0.43,0.25,0.5
"GimGoon","FunPlus Phoenix","Top",3,"33%","33%",0,5,13,2.6,"52.0%","0.0%","17.9%","33%",-445,-166,-15,8,"23.0%",233,"19.4%",,205,"20.5%",,0.49,0.18,0.22
"H4cker","Suning","Jungle",4,"50%","50%",10,7,28,5.4,"77.6%","20.4%","16.7%","100%",550,485,17,5.6,"13.9%",289,"15.5%",,211,"19.1%",,0.46,0.41,0.46
"Haro","EDward Gaming","Jungle",2,"50%","50%",4,4,8,3,"60.0%","20.0%","33.3%","0%",272,198,2,4.3,"10.9%",134,"9.1%",,160,"15.2%",,0.82,0.46,0.43
"Holder","Rogue Warriors","Top",3,"0%","67%",3,12,5,0.7,"34.8%","13.0%","27.3%","0%",-441,-399,-11,8.3,"28.4%",370,"23.8%",,204,"21.8%",,0.4,0.11,0.14
"iBoy","EDward Gaming","ADC",4,"25%","25%",15,5,11,5.2,"81.3%","46.9%","13.9%","25%",299,216,7.5,10.4,"33.3%",405,"28.5%",,305,"30.5%",,0.36,0.15,0.56
"JackeyLove","Invictus Gaming","ADC",10,"50%","40%",41,27,51,3.4,"64.8%","28.9%","18.0%","10%",-39,-45,-1.4,10.1,"32.3%",597,"29.2%",,314,"26.6%",,0.32,0.14,0.47
"Karsa","Royal Never Give Up","Jungle",9,"78%","33%",39,22,88,5.8,"75.1%","23.1%","21.8%","33%",255,114,1.3,5.2,"12.8%",421,"20.0%",,236,"19.5%",,0.49,0.38,0.35
"Killua","Rogue Warriors","Support",7,"14%","43%",3,29,44,1.6,"71.2%","4.5%","23.8%","14%",12,-13,-5.3,1.4,"5.6%",154,"9.7%",,98,"10.0%",,1.44,0.45,0.23
"Kiwi","Rogue Warriors","Jungle",3,"0%","33%",1,7,14,2.1,"65.2%","4.3%","15.9%","0%",-196,213,3.3,3.8,"9.5%",159,"10.9%",,129,"13.8%",,0.49,0.45,0.37
"Langx","Suning","Top",4,"50%","100%",8,10,21,2.9,"59.2%","16.3%","23.8%","50%",158,246,3.5,9.7,"27.5%",547,"28.6%",,265,"23.5%",,0.35,0.06,0.1
"Letme","Royal Never Give Up","Top",12,"67%","42%",32,28,82,4.1,"55.6%","15.6%","19.0%","33%",310,193,6.8,8,"22.4%",373,"18.4%",,242,"20.5%",,0.46,0.16,0.17
"Lies","Top Esports","Top",2,"0%","0%",1,5,2,0.6,"27.3%","9.1%","13.9%","0%",-28,-160,1.5,9.1,"26.0%",403,"26.4%",,225,"23.8%",,0.47,0.11,0.15
"LokeN","JD Gaming","ADC",15,"67%","73%",59,17,65,7.3,"73.4%","34.9%","11.9%","20%",-68,-22,-5.7,9.8,"30.3%",537,"31.2%",,307,"26.8%",,0.4,0.17,0.38
"LvMao","JD Gaming","Support",15,"67%","33%",6,38,114,3.2,"71.0%","3.6%","26.6%","20%",33,40,-0.1,1.5,"4.6%",131,"7.7%",,106,"9.3%",,1.4,0.52,0.22
"Lwx","FunPlus Phoenix","ADC",3,"33%","33%",10,3,9,6.3,"76.0%","40.0%","10.7%","0%",-55,-46,3,10.6,"34.7%",486,"38.2%",,297,"29.4%",,0.28,0.07,0.31
"Meiko","EDward Gaming","Support",4,"25%","75%",3,12,21,2,"75.0%","9.4%","33.3%","25%",-14,66,2.3,1.7,"5.8%",124,"8.8%",,99,"9.7%",,1.46,0.48,0.31
"Ming","Royal Never Give Up","Support",13,"69%","54%",18,31,134,4.9,"67.0%","7.9%","20.4%","15%",10,28,-4.1,1.2,"3.6%",216,"10.9%",,119,"9.8%",,1.57,0.58,0.28
"Mlxg","Royal Never Give Up","Jungle",4,"50%","100%",6,12,32,3.2,"65.5%","10.3%","23.5%","50%",3,-46,-6.5,3.9,"9.0%",161,"8.4%",,157,"13.7%",,0.34,0.32,0.32
"Mouse","Rogue Warriors","Top",4,"25%","75%",4,15,22,1.7,"60.5%","9.3%","19.2%","25%",-503,-222,-19,7.9,"24.1%",267,"15.9%",,202,"20.3%",,0.47,0.15,0.18
"Moyu","Top Esports","Top",6,"50%","33%",14,11,28,3.8,"70.0%","23.3%","15.1%","0%",-216,-238,-4.7,8.9,"27.0%",350,"20.7%",,271,"25.3%",,0.38,0.15,0.11
"Ning","Invictus Gaming","Jungle",10,"50%","60%",24,38,73,2.6,"68.3%","16.9%","25.3%","60%",-31,-23,2.2,5.1,"13.2%",307,"14.6%",,202,"17.1%",,0.4,0.37,0.35
"QiuQiu","Top Esports","ADC",8,"38%","13%",12,28,24,1.3,"50.7%","16.9%","25.7%","13%",-408,-134,-5.4,9,"26.9%",444,"29.1%",,243,"22.8%",,0.44,0.17,0.21
"Ray","EDward Gaming","Top",4,"25%","0%",2,5,20,4.4,"68.8%","6.3%","13.9%","25%",-313,-355,-14.3,8.4,"25.5%",329,"23.7%",,213,"21.6%",,0.51,0.18,0.16
"Rookie","Invictus Gaming","Middle",10,"50%","70%",29,25,76,4.2,"73.9%","20.4%","16.7%","20%",164,105,6.8,8.7,"24.8%",580,"28.3%",,272,"23.0%",,0.51,0.19,0.16
"Scout","EDward Gaming","Middle",4,"25%","75%",5,7,18,3.3,"71.9%","15.6%","19.4%","50%",127,274,6.8,8.9,"25.5%",394,"28.6%",,228,"22.9%",,0.37,0.22,0.27
"Smlz","Rogue Warriors","ADC",7,"14%","29%",29,25,20,2,"74.2%","43.9%","20.5%","14%",-63,119,5.1,9.7,"30.5%",610,"35.3%",,290,"29.0%",,0.32,0.1,0.39
"TheShy","Invictus Gaming","Top",7,"57%","57%",31,26,37,2.6,"62.4%","28.4%","23.2%","57%",61,135,3.4,8.3,"22.9%",483,"22.3%",,290,"23.5%",,0.39,0.07,0.12
"Uzi","Royal Never Give Up","ADC",10,"80%","50%",57,16,69,7.9,"64.9%","29.4%","14.0%","10%",320,5,7.9,10.8,"37.3%",644,"30.3%",,360,"28.3%",,0.46,0.16,0.53
"Xiaohu","Royal Never Give Up","Middle",13,"69%","31%",61,32,101,5.1,"71.4%","26.9%","21.1%","15%",-223,-204,-5.5,8.9,"26.1%",482,"23.9%",,285,"23.8%",,0.43,0.24,0.15
"Xx","Top Esports","Jungle",8,"38%","38%",9,19,46,2.9,"77.5%","12.7%","17.4%","25%",-439,-431,-11.1,4.8,"12.8%",213,"13.4%",,166,"16.9%",,0.38,0.32,0.42
"Yagao","JD Gaming","Middle",15,"67%","47%",42,25,76,4.7,"69.8%","24.9%","17.5%","13%",-20,-86,-3,8.8,"25.7%",404,"23.9%",,264,"23.3%",,0.51,0.21,0.2
"Yoon","Suning","Support",4,"50%","0%",5,10,31,3.6,"73.5%","10.2%","23.8%","25%",212,116,0.8,2,"5.8%",131,"6.8%",,122,"10.3%",,1.43,0.55,0.19
"Zoom","JD Gaming","Top",15,"67%","60%",35,30,79,3.8,"67.5%","20.7%","21.0%","7%",267,170,10.4,9.3,"26.8%",385,"22.5%",,274,"23.9%",,0.49,0.19,0.16
"Zz1tai","Royal Never Give Up","Top",1,"100%","100%",5,2,10,7.5,"68.2%","22.7%","40.0%","0%",107,200,6,8.6,"23.8%",297,"16.8%",,284,"22.7%",,0.51,0.14,0.16
