"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",6,"1.9%","0.3%","2.2%","17%","100%",15,20,15,1.5,"54.5%","18.9%","-","-","-","-",8.7,"-",490,"27.3%","24.9%",0.38,0.18
"Ahri","Middle",110,"34.0%","18.2%","52.2%","53%","51%",350,197,644,5,"69.6%","14.3%","-","-","-","-",8.4,"-",518,"25.1%","22.3%",0.48,0.3
"Akali","Middle",11,"3.4%","2.8%","6.2%","27%","91%",36,29,32,2.3,"59.6%","21.3%","-","-","-","-",8.2,"-",400,"21.1%","22.8%",0.31,0.18
"Alistar","Support",42,"13.0%","8.0%","21.0%","52%","67%",20,159,430,2.8,"71.3%","26.7%","-","-","-","-",1.1,"-",145,"6.5%","9.1%",1.68,0.33
"Annie","Middle",136,"42.0%","22.8%","65.1%","46%","46%",358,380,872,3.2,"71.4%","21.3%","-","-","-","-",7.5,"-",559,"26.6%","21.6%",0.31,0.2
"Annie","Support",1,"0.3%","22.8%","65.1%","0%","100%",1,5,8,1.8,"90.0%","21.7%","-","-","-","-",0.6,"-",223,"11.0%","10.6%",1.47,0.27
"Aphelios","ADC",196,"60.5%","17.3%","77.8%","49%","34%",808,496,849,3.3,"67.2%","19.6%","-","-","-","-",9.7,"-",625,"29.5%","27.9%",0.39,0.35
"Ashe","ADC",21,"6.5%","5.6%","12.0%","33%","67%",84,63,132,3.4,"75.8%","19.4%","-","-","-","-",9.2,"-",576,"24.6%","25.7%",0.38,0.36
"Aurelion Sol","Middle",3,"0.9%","0.9%","1.9%","33%","100%",5,5,13,3.6,"78.3%","11.6%","-","-","-","-",8.5,"-",490,"29.2%","23.8%",0.39,0.23
"Azir","Middle",52,"16.0%","12.3%","28.4%","50%","73%",192,101,282,4.7,"71.8%","15.4%","-","-","-","-",8.9,"-",623,"29.1%","24.3%",0.4,0.31
"Bel'Veth","Jungle",2,"0.6%","0.0%","0.6%","100%","50%",11,3,11,7.3,"75.9%","21.4%","-","-","-","-",8.1,"-",479,"21.5%","25.7%",0.24,0.37
"Blitzcrank","Support",34,"10.5%","9.0%","19.4%","56%","85%",28,121,266,2.4,"58.7%","26.3%","-","-","-","-",1.1,"-",170,"7.7%","9.0%",1.72,0.33
"Braum","Support",35,"10.8%","7.4%","18.2%","40%","69%",15,114,323,3,"78.8%","22.8%","-","-","-","-",1.1,"-",139,"6.9%","8.6%",1.66,0.3
"Camille","Top",6,"1.9%","1.2%","3.1%","50%","83%",26,18,29,3.1,"52.9%","19.6%","-","-","-","-",7.8,"-",539,"23.9%","24.0%",0.27,0.14
"Cassiopeia","-",0,"0%","0.3%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
