year,title,genre,format,CSM target_age,imdb_rating,slope_(1/f),aspect_ratio,dur_(min),shots,ASL,Luminance,Motion,clutter,saturation,char/shot,ave_scale,narr_shifts,%intertitles,lum_w/_titles,mo_w/_titles,clut_w/_titles
1915,a fool there was,drama,live,,5.9,0.27,1.33,66,326,12.1,127,0.97,0.06,,,,,0.08,122,0.97,0.06
1915,alice in wonderland 1915,adventure,live,,6.4,0.12,1.33,52,188,16.5,165,0.97,0.07,,,,,0.27,139,0.97,0.06
1915,carmen,drama,live,,7,0.63,1.33,56,303,11.1,116,0.90,0.07,,,,,0.13,101,0.93,0.06
1915,children of eve,drama,live,,6.4,0.28,1.33,73,527,6.6,161,0.92,0.07,,,,,0.08,150,0.94,0.07
1915,civilization,drama,live,,6.3,0.98,1.33,78,893,5.2,150,0.93,0.06,,,,,0.21,146,0.94,0.06
1915,madame butterfly,drama,live,,5.4,0.07,1.33,50,306,9.7,121,0.96,0.06,,,,,0.10,111,0.96,0.06
1915,martyrs of the alamo,action,live,,5.9,0.36,1.33,70,624,6.7,146,0.92,0.07,,,,,0.15,166,0.93,0.07
1915,regeneration,drama,live,,6.8,0.33,1.33,68,959,4.3,92,0.92,0.07,,,,,0.11,90,0.94,0.07
1915,the cheat,drama,live,,6.5,0.73,1.33,58,296,11.7,97,0.95,0.06,,,,,0.11,94,0.96,0.06
1915,the italian,drama,live,,6.5,0.39,1.33,71,510,8.3,156,0.92,0.06,,,,,0.12,150,0.94,0.06
1920,dr jekyll & mr hyde,drama,live,,7,0.59,1.33,102,730,8.4,91,0.96,0.05,,,,,0.17,90,0.97,0.05
1920,last of the mohicans,adventure,live,,6.9,0.22,1.33,88,676,7.8,134,0.94,0.06,,,,,0.16,121,0.95,0.06
1920,mark of zorro,adventure,live,,7.3,0.69,1.33,93,983,5.7,151,0.92,0.07,,,,,0.19,135,0.94,0.06
1920,pollyanna,comedy,live,,7.1,0.33,1.33,71,645,6.6,130,0.96,0.07,,,,,0.25,121,0.97,0.06
1920,symbol of the unconquered,drama,live,,5.6,0.82,1.33,72,511,8.4,121,0.90,0.07,,,,,0.27,102,0.94,0.07
1920,the flapper,comedy,live,,6.7,0.56,1.33,105,953,6.6,126,0.96,0.07,,,,,0.16,119,0.97,0.07
1920,the penalty,drama,live,,7.5,0.70,1.33,113,1027,6.6,114,0.96,0.06,,,,,0.21,106,0.97,0.05
1920,way down east,drama,live,,8,0.63,1.33,150,1770,5.1,127,0.97,0.07,,,,,0.19,121,0.98,0.06
1920,why change your wife?,comedy,live,,8.1,0.53,1.2,113,656,10.3,114,0.94,0.08,,,,,0.19,110,0.95,0.07
1920,within our gates,drama,live,,6.3,0.38,1.33,95,848,6.7,126,0.96,0.06,,,,,0.24,109,0.97,0.06
1925,body and soul,drama,live,,6.3,0.10,1.33,79,1043,4.6,131,0.91,0.07,,,,,0.14,116,0.93,0.06
1925,go west,comedy,live,,7.3,0.39,1.33,55,624,5.3,167,0.90,0.07,,,,,0.05,161,0.92,0.07
1925,lady windermere's fan,drama,live,,7.5,0.87,1.85,89,572,9.3,138,0.95,0.07,,,,,0.09,138,0.96,0.07
1925,seven chances,comedy,live,,8,0.28,1.33,55,489,6.7,169,0.89,0.08,,,,,0.10,162,0.91,0.07
1925,the eagle,action,live,,7.5,0.53,1.33,89,840,6.4,134,0.94,0.06,,,,,0.11,123,0.96,0.06
1925,the freshman,comedy,live,,7.6,0.57,1.33,62,1008,3.7,131,0.87,0.07,,,,,0.13,120,0.91,0.06
1925,the gold rush,adventure,live,,8.3,0.03,1.33,94,897,6.3,131,0.92,0.06,,,,,0.11,114,0.94,0.06
1925,the lost world,adventure,live,,7.1,0.14,1.33,112,1090,6.2,166,0.95,0.08,,,,,0.19,162,0.97,0.08
1925,the pleasure garden,drama,live,,6,0.59,1.33,59,731,4.8,139,0.90,0.06,,,,,0.17,129,0.93,0.06
1925,the wizard of oz,comedy,live,,5.3,0.53,1.33,106,764,8.3,113,0.92,0.06,,,,,0.14,110,0.94,0.05
1930,abraham lincoln,drama,live,,5.8,0.60,1.2,91,446,12.2,93,0.94,0.06,,,,,,,,
1930,all quiet on west front,action,live,,8.1,0.46,1.33,132,836,9.4,87,0.97,0.07,,,,,,,,
1930,animal crackers,comedy,live,,7.7,0.19,1.2,99,283,21.1,148,0.93,0.07,,,,,,,,
1930,half shot at sunrise,comedy,live,,6.3,0.71,1.2,77,492,9.4,99,0.93,0.07,,,,,,,,
1930,hell's angels,action,live,,7.8,0.29,1.2,128,1158,6.6,102,0.93,0.06,,,,,,,,
1930,just imagine,comedy,live,,5.6,0.25,1.2,108,593,10.9,147,0.93,0.07,,,,,,,,
1930,liliom,drama,live,,6.7,0.33,1.2,87,511,10.3,61,0.94,0.06,,,,,,,,
1930,murder!,drama,live,,6.4,0.57,1.2,100,435,13.8,124,0.91,0.07,,,,,,,,
1930,the big trail,adventure,live,,7.3,0.87,2.1,119,689,10.4,113,0.92,0.08,,,,,,,,
1930,up the river,comedy,live,,6.1,0.24,1.37,53,404,7.8,131,0.88,0.07,,,,,,,,
1935,39 steps,drama,live,,8,0.93,1.37,86,577,8.8,105,0.90,0.06,,,,,,,,
1935,Anna Karenina,drama,live,,7.1,0.23,1.37,92,582,9.5,129,0.91,0.07,,,,,,,,
1935,Captain Blood,action,live,,7.6,0.42,1.37,117,1125,6.2,134,0.91,0.07,,2.73,,,,,,
1935,Les Misérables,drama,live,,7.6,0.91,1.37,108,823,7.8,101,0.89,0.06,,,,,,,,
1935,Mutiny on the Bounty,adventure,live,,7.9,0.57,1.37,131,1009,7.8,135,0.90,0.07,,,,,,,,
1935,Night at the Opera,comedy,live,,8,0.43,1.37,89,595,9.0,121,0.88,0.07,,2.87,,,,,,
1935,Tale of 2 Cities,drama,live,,7.9,0.76,1.37,122,816,9.0,122,0.91,0.07,,2.61,,,,,,
1935,The informer,drama,live,,7.5,0.20,1.37,89,507,10.5,102,0.94,0.06,,,,,,,,
1935,Top Hat,comedy,live,,7.6,0.40,1.37,98,559,10.5,150,0.92,0.07,,,,,,,,
1935,Westward Ho,action,live,,5.8,0.74,1.37,60,548,6.5,129,0.91,0.07,,,,,,,,
1940,Fantasia,animation,animation,,7.8,0.49,1.37,120,679,10.7,104,0.89,0.05,,,,,,,,
1940,Foreign Correspondent,adventure,live,,7.6,0.71,1.37,117,997,7.0,134,0.91,0.07,,,,,,,,
1940,Grapes of Wrath,drama,live,,8.1,0.14,1.37,127,745,10.2,104,0.93,0.07,,2.31,3.17,73,,,,
1940,Great Dictator,comedy,live,,8.3,0.05,1.37,118,589,14.4,140,0.93,0.08,,,,,,,,
1940,Philadelphia Story,comedy,live,,8.1,0.55,1.37,110,503,13.1,139,0.93,0.08,,2.27,3.70,63,,,,
1940,Pinocchio,animation,animation,,7.5,0.64,1.37,85,949,5.4,120,0.78,0.07,,,,,,,,
1940,Rebecca,drama,live,,8.3,0.89,1.37,128,822,9.4,118,0.93,0.07,,,,,,,,
1940,Sante Fe Trail,action,live,,6.2,1.14,1.37,107,979,6.6,127,0.92,0.05,,2.92,3.24,144,,,,
1940,The letter,drama,live,,7.8,0.38,1.37,97,417,14.0,112,0.94,0.07,,,,,,,,
1940,Thief of Baghdad,adventure,live,,7.8,0.44,1.37,104,1183,5.3,129,0.91,0.07,,,,,,,,
1945,Anchors Aweigh,comedy,live,,7,0.52,1.37,136,621,13.2,123,0.92,0.07,,2.41,,,,,,
1945,Bells of St. Mary's,drama,live,,7.4,0.35,1.37,124,667,11.2,129,0.95,0.07,,,,,,,,
1945,Blood in the Sun,action,live,,6.3,0.49,1.37,111,441,14.6,112,0.94,0.06,,2.08,,,,,,
1945,Brief Encounter,drama,live,,8.3,0.37,1.37,84,344,14.6,116,0.93,0.07,,,,,,,,
1945,Detour,drama,live,,7.4,0.03,1.37,82,267,18.4,131,0.95,0.06,,,,,,,,
1945,Leave Her to Heaven,drama,live,,7.6,0.49,1.37,110,623,10.9,124,0.95,0.08,,,,,,,,
1945,Lost Weekend,drama,live,,8.1,0.19,1.37,97,487,12.0,121,0.94,0.07,,,,,,,,
1945,Mildred Pierce,drama,live,,7.6,0.07,1.37,109,633,10.3,130,0.92,0.07,,2.09,,,,,,
1945,Pursuit to Algiers,adventure,live,,7.2,0.02,1.37,63,330,11.4,120,0.93,0.06,,,,,,,,
1945,Spellbound,drama,live,,7.6,0.38,1.37,111,633,10.4,142,0.94,0.06,,,,,,,,
1950,All About Eve,drama,live,,8.3,0.19,1.37,136,787,10.4,130,0.94,0.07,,1.80,4.04,83,,,,
1950,Annie get your gun,comedy,live,,7.2,1.18,1.37,105,425,14.9,148,0.83,0.08,,,,,,,,
1950,Asphalt Jungle,drama,live,,7.9,0.20,1.37,110,631,10.5,111,0.93,0.06,,,,,,,,
1950,Born Yesterday,comedy,live,,7.6,0.68,1.37,101,358,16.9,147,0.93,0.08,,,,,,,,
1950,Cheaper by the dozen,comedy,live,,6.9,0.42,1.37,84,385,13.1,127,0.93,0.08,,,,,,,,
1950,Cinderella 1950,animation,animation,,7.4,0.95,1.37,72,1078,4.0,145,0.88,0.05,,,,,,,,
1950,Flame and Arrow,action,live,,6.9,0.69,1.37,86,792,6.6,108,0.85,0.08,,3.11,2.73,97,,,,
1950,Harvey,comedy,live,,8.1,0.57,1.37,103,295,20.9,131,0.93,0.08,,2.31,3.25,70,,,,
1950,King Solomon's Mines,adventure,live,,6.9,0.31,1.37,101,1129,5.4,135,0.92,0.08,,,,,,,,
1950,Sunset Boulevard,drama,live,,8.6,0.26,1.37,108,409,15.8,106,0.94,0.07,,,,,,,,
1955,Battle Cry,action,live,,6.5,0.25,2.55,146,916,9.6,131,0.89,0.09,,2.78,,,,,,
